ClassName,MathodName,describe,Event A-object,Event A-behavious,Event A-api,Event B-object,Event B-behavious,Event B-api,Modal,Conditon
android.animation.ValueAnimator,void setEvaluator(TypeEvaluator value), The type evaluator to be used when calculating the animated values of this animation.,,,,,,,,
,,,,,,,,,,
android.animation.ValueAnimator,void setRepeatMode(int value), Defines what this animation should do when it reaches the end.,no suit,,,,,,,
,,,,,,,,,,
android.app.ActionBar.LayoutParams,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.app.ActionBar.OnMenuVisibilityListener,abstract void onMenuVisibilityChanged(boolean isVisible), Called when an action bar menu is shown or hidden.,no suit,,,,,,,
,,,,,,,,,,
android.app.ActionBar.TabListener,"abstract void onTabReselected(ActionBar.Tab tab, FragmentTransaction ft)", Called when a tab that is already selected is chosen again by the user.,,,,,,,,
,,,,,,,,,,
android.app.ActionBar.TabListener,"abstract void onTabSelected(ActionBar.Tab tab, FragmentTransaction ft)", Called when a tab enters the selected state.,,,,,,,,
,,,,,,,,,,
android.app.ActionBar.TabListener,"abstract void onTabUnselected(ActionBar.Tab tab, FragmentTransaction ft)", Called when a tab exits the selected state.,,,,,,,,
,,,,,,,,,,
android.app.ActionBar,void setHomeActionContentDescription(CharSequence description)," Set an alternate description for the Home/Up action, when enabled.",no suit,,,,,,,
,,,,,,,,,,
android.app.ActionBar,void setHomeActionContentDescription(int resId)," Set an alternate description for the Home/Up action, when enabled.",no suit,,,,,,,
,,,,,,,,,,
android.app.ActionBar,void setHomeAsUpIndicator(int resId), Set an alternate drawable to display next to the icon/logo/title when DISPLAY_HOME_AS_UP is enabled.,,,,,,,,
,,,,,,,,,,
android.app.ActionBar,void setHomeAsUpIndicator(Drawable indicator), Set an alternate drawable to display next to the icon/logo/title when DISPLAY_HOME_AS_UP is enabled.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void finish(), Call this when your activity is done and should be closed.,no suit,,,,,,,
,,,,,,,,,,
android.app.Activity,"void finishActivityFromChild(Activity child, int requestCode)", This is called when a child activity of this one calls its finishActivity().,,,,,,,,
,,,,,,,,,,
android.app.Activity,void finishAndRemoveTask(), Call this when your activity is done and should be closed and the task should be completely removed as a part of finishing the root activity of the task.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void finishFromChild(Activity child), This is called when a child activity of this one calls its finish() method.,,,,,,,,
,,,,,,,,,,
android.app.Activity,int getMaxNumPictureInPictureActions(), Return the number of actions that will be displayed in the picture-in-picture UI when the user interacts with the activity currently in picture-in-picture mode.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"boolean navigateUpToFromChild(Activity child, Intent upIntent)", This is called when a child activity of this one calls its navigateUpTo(Intent) method.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"void onActivityReenter(int resultCode, Intent data)"," Called when an activity you launched with an activity transition exposes this Activity through a returning activity transition, giving you the resultCode and any additional data from it.",,,,,,,,
,,,,,,,,,,
android.app.Activity,void onAttachedToWindow(), Called when the main window associated with the activity has been attached to the window manager.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onBackPressed(), Called when the activity has detected the user's press of the back key.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onConfigurationChanged(Configuration newConfig), Called by the system when the device configuration changes while your activity is running.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onContextMenuClosed(Menu menu)," This hook is called whenever the context menu is being closed (either by the user canceling the menu with the back/menu button, or when an item is selected).",,,,,,,,
,,,,,,,,,,
android.app.Activity,"void onCreateContextMenu(ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)", Called when a context menu for the view is about to be shown.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"View onCreateView(View parent, String name, Context context, AttributeSet attrs)"," Standard implementation of onCreateView(View, String, Context, AttributeSet) used when inflating with the LayoutInflater returned by getSystemService(Class).",,,,,,,,
,,,,,,,,,,
android.app.Activity,"View onCreateView(String name, Context context, AttributeSet attrs)"," Standard implementation of onCreateView(String, Context, AttributeSet) used when inflating with the LayoutInflater returned by getSystemService(Class).",,,,,,,,
,,,,,,,,,,
android.app.Activity,void onDetachedFromWindow(), Called when the main window associated with the activity has been detached from the window manager.,,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean onGenericMotionEvent(MotionEvent event), Called when a generic motion event was not handled by any of the views inside of the activity.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"boolean onKeyDown(int keyCode, KeyEvent event)", Called when a key was pressed down and not handled by any of the views inside of the activity.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"boolean onKeyShortcut(int keyCode, KeyEvent event)", Called when a key shortcut event is not handled by any of the views in the Activity.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"boolean onKeyUp(int keyCode, KeyEvent event)", Called when a key was released and not handled by any of the views inside of the activity.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onLowMemory()," This is called when the overall system is running low on memory, and actively running processes should trim their memory usage.",,,,,,,,
,,,,,,,,,,
android.app.Activity,"boolean onMenuOpened(int featureId, Menu menu)", Called when a panel's menu is opened by the user.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"void onMultiWindowModeChanged(boolean isInMultiWindowMode, Configuration newConfig)", Called by the system when the activity changes from fullscreen mode to multi-window mode and visa-versa.,no suit,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean onNavigateUpFromChild(Activity child), This is called when a child activity of this one attempts to navigate up.,no suit,,,,,,,
,,,,,,,,,,
android.app.Activity,void onOptionsMenuClosed(Menu menu)," This hook is called whenever the options menu is being closed (either by the user canceling the menu with the back/menu button, or when an item is selected).",,,,,,,,
,,,,,,,,,,
android.app.Activity,"void onPictureInPictureModeChanged(boolean isInPictureInPictureMode, Configuration newConfig)", Called by the system when the activity changes to and from picture-in-picture mode.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onProvideAssistContent(AssistContent outContent)," This is called when the user is requesting an assist, to provide references to content related to the current activity.",,,,,,,,
,,,,,,,,,,
android.app.Activity,void onProvideAssistData(Bundle data)," This is called when the user is requesting an assist, to build a full ACTION_ASSIST Intent with all of the context of the current application.",,,,,,,,
,,,,,,,,,,
android.app.Activity,Object onRetainNonConfigurationInstance()," Called by the system, as part of destroying an activity due to a configuration change, when it is known that a new instance will immediately be created for the new configuration.",,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean onSearchRequested(SearchEvent searchEvent), This hook is called when the user signals the desire to start a search.,,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean onSearchRequested(), Called when the user signals the desire to start a search.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onStateNotSaved()," Called when an onResume() is coming up, prior to other pre-resume callbacks such as onNewIntent(Intent) and onActivityResult(int, int, Intent).",,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean onTouchEvent(MotionEvent event), Called when a touch screen event was not handled by any of the views under it.,,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean onTrackballEvent(MotionEvent event), Called when the trackball was moved and not handled by any of the views inside of the activity.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onTrimMemory(int level), Called when the operating system has determined that it is a good time for a process to trim unneeded memory from its process.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void onWindowFocusChanged(boolean hasFocus), Called when the current Window of the activity gains or loses focus.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"ActionMode onWindowStartingActionMode(ActionMode.Callback callback, int type)", Called when an action mode is being started for this window.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void postponeEnterTransition()," Postpone the entering activity transition when Activity was started with makeSceneTransitionAnimation(Activity, android.util.Pair[]).",,,,,,,,
,,,,,,,,,,
android.app.Activity,void setEnterSharedElementCallback(SharedElementCallback callback)," When makeSceneTransitionAnimation(Activity, android.view.View, String) was used to start an Activity, callback will be called to handle shared elements on the launched Activity.",,,,,,,,
,,,,,,,,,,
android.app.Activity,void setExitSharedElementCallback(SharedElementCallback callback)," When makeSceneTransitionAnimation(Activity, android.view.View, String) was used to start an Activity, callback will be called to handle shared elements on the launching Activity.",,,,,,,,
,,,,,,,,,,
android.app.Activity,void setFinishOnTouchOutside(boolean finish), Sets whether this activity is finished when touched outside its window's bounds.,,,,,,,,
,,,,,,,,,,
android.app.Activity,void setPictureInPictureParams(PictureInPictureParams params)," Updates the properties of the picture-in-picture activity, or sets it to be used later when enterPictureInPictureMode() is called.",,,,,,,,
,,,,,,,,,,
android.app.Activity,void setTurnScreenOn(boolean turnScreenOn), Specifies whether the screen should be turned on when the Activity is resumed.,,,,,,,,
,,,,,,,,,,
android.app.Activity,boolean shouldUpRecreateTask(Intent targetIntent), Returns true if the app should recreate the task when navigating 'up' from this activity by using targetIntent.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"void startActivityForResult(Intent intent, int requestCode, Bundle options)", Launch an activity for which you would like a result when it finished.,,,,,,,,
,,,,,,,,,,
android.app.Activity,"void startActivityFromChild(Activity child, Intent intent, int requestCode, Bundle options)"," This is called when a child activity of this one calls its startActivity(Intent) or startActivityForResult(Intent, int) method.",,,,,,,,
,,,,,,,,,,
android.app.Activity,"boolean startNextMatchingActivity(Intent intent, Bundle options)"," Special version of starting an activity, for use when you are replacing other activity components.",,,,,,,,
,,,,,,,,,,
android.app.Fragment.InstantiationException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,Transition getExitTransition()," Returns the Transition that will be used to move Views out of the scene when the fragment is removed, hidden, or detached when not popping the back stack.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,Transition getReenterTransition(), Returns the Transition that will be used to move Views in to the scene when returning due to popping a back stack.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,Transition getReturnTransition()," Returns the Transition that will be used to move Views out of the scene when the Fragment is preparing to be removed, hidden, or detached because of popping the back stack.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onActivityCreated(Bundle savedInstanceState), Called when the fragment's activity has been created and this fragment's view hierarchy instantiated.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onAttach(Context context), Called when a fragment is first attached to its context.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onAttachFragment(Fragment childFragment), Called when a fragment is attached as a child of this fragment.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onConfigurationChanged(Configuration newConfig), Called by the system when the device configuration changes while your component is running.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,"Animator onCreateAnimator(int transit, boolean enter, int nextAnim)", Called when a fragment loads an animation.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,"void onCreateContextMenu(ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)", Called when a context menu for the view is about to be shown.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onDestroy(), Called when the fragment is no longer in use.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onDestroyOptionsMenu(), Called when this fragment's option menu items are no longer being included in the overall options menu.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onDestroyView()," Called when the view previously created by onCreateView(LayoutInflater, ViewGroup, Bundle) has been detached from the fragment.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onDetach(), Called when the fragment is no longer attached to its activity.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onHiddenChanged(boolean hidden), Called when the hidden state (as returned by isHidden() of the fragment has changed.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,"void onInflate(Context context, AttributeSet attrs, Bundle savedInstanceState)"," Called when a fragment is being created as part of a view layout inflation, typically from setting the content view of an activity.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onLowMemory()," This is called when the overall system is running low on memory, and actively running processes should trim their memory usage.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,"void onMultiWindowModeChanged(boolean isInMultiWindowMode, Configuration newConfig)", Called when the Fragment's activity changes from fullscreen mode to multi-window mode and visa-versa.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onOptionsMenuClosed(Menu menu)," This hook is called whenever the options menu is being closed (either by the user canceling the menu with the back/menu button, or when an item is selected).",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onPause(), Called when the Fragment is no longer resumed.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,"void onPictureInPictureModeChanged(boolean isInPictureInPictureMode, Configuration newConfig)", Called by the system when the activity changes to and from picture-in-picture mode.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onResume(), Called when the fragment is visible to the user and actively running.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onStart(), Called when the Fragment is visible to the user.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onStop(), Called when the Fragment is no longer started.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onTrimMemory(int level), Called when the operating system has determined that it is a good time for a process to trim unneeded memory from its process.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void onViewStateRestored(Bundle savedInstanceState), Called when all saved state has been restored into the view hierarchy of the fragment.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void setEnterSharedElementCallback(SharedElementCallback callback)," When custom transitions are used with Fragments, the enter transition callback is called when this Fragment is attached or detached when not popping the back stack.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void setExitSharedElementCallback(SharedElementCallback callback)," When custom transitions are used with Fragments, the exit transition callback is called when this Fragment is attached or detached when popping the back stack.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void setExitTransition(Transition transition)," Sets the Transition that will be used to move Views out of the scene when the fragment is removed, hidden, or detached when not popping the back stack.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void setInitialSavedState(Fragment.SavedState state)," Set the initial saved state that this Fragment should restore itself from when first being constructed, as returned by FragmentManager.saveFragmentInstanceState.",,,,,,,,
,,,,,,,,,,
android.app.Fragment,void setReenterTransition(Transition transition), Sets the Transition that will be used to move Views in to the scene when returning due to popping a back stack.,,,,,,,,
,,,,,,,,,,
android.app.Fragment,void setReturnTransition(Transition transition)," Sets the Transition that will be used to move Views out of the scene when the Fragment is preparing to be removed, hidden, or detached because of popping the back stack.",,,,,,,,
,,,,,,,,,,
android.app.FragmentBreadCrumbs.OnBreadCrumbClickListener,"abstract boolean onBreadCrumbClick(FragmentManager.BackStackEntry backStack, int flags)", Called when a bread crumb is clicked.,,,,,,,,
,,,,,,,,,,
android.app.FragmentHostCallback,void onAttachFragment(Fragment fragment)," Called when a Fragment is being attached to this host, immediately after the call to its onAttach(Context) method and before onCreate(Bundle).",,,,,,,,
,,,,,,,,,,
android.app.FragmentTransaction,abstract FragmentTransaction setBreadCrumbShortTitle(int res)," Set the short title to show as a bread crumb when this transaction is on the back stack, as used by FragmentBreadCrumbs.",,,,,,,,
,,,,,,,,,,
android.app.FragmentTransaction,abstract FragmentTransaction setBreadCrumbTitle(int res)," Set the full title to show as a bread crumb when this transaction is on the back stack, as used by FragmentBreadCrumbs.",,,,,,,,
,,,,,,,,,,
android.app.Notification.Action.Builder,Notification.Action.Builder addRemoteInput(RemoteInput remoteInput), Add an input to be collected from the user when this action is sent.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Action,RemoteInput[] getDataOnlyRemoteInputs(), Get the list of inputs to be collected from the user that ONLY accept data when this action is sent.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Action,RemoteInput[] getRemoteInputs(), Get the list of inputs to be collected from the user when this action is sent.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Action.WearableExtender,boolean isAvailableOffline(), Get whether this action is available when the wearable device is not connected to a companion device.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Action.WearableExtender,Notification.Action.WearableExtender setAvailableOffline(boolean availableOffline), Set whether this action is available when the wearable device is not connected to a companion device.,,,,,,,,
,,,,,,,,,,
android.app.Notification.BigPictureStyle,Notification.BigPictureStyle bigLargeIcon(Bitmap b), Override the large icon when the big notification is shown.,,,,,,,,
,,,,,,,,,,
android.app.Notification.BigPictureStyle,Notification.BigPictureStyle bigLargeIcon(Icon icon), Override the large icon when the big notification is shown.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Builder,Notification.Builder setAutoCancel(boolean autoCancel), Make this notification automatically dismissed when the user touches it.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Builder,Notification.Builder setContentIntent(PendingIntent intent), Supply a PendingIntent to be sent when the notification is clicked.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Builder,Notification.Builder setDeleteIntent(PendingIntent intent), Supply a PendingIntent to send when the notification is cleared explicitly by the user.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Builder,"Notification.Builder setSmallIcon(int icon, int level)", A variant of setSmallIcon(int) that takes an additional level parameter for when the icon is a LevelListDrawable.,,,,,,,,
,,,,,,,,,,
android.app.Notification.Builder,Notification.Builder setUsesChronometer(boolean b), Show the when field as a stopwatch.,,,,,,,,
,,,,,,,,,,
android.app.Notification.CarExtender,Notification.CarExtender setColor(int color), Sets the accent color to use when Android Auto presents the notification.,,,,,,,,
,,,,,,,,,,
android.app.Notification.CarExtender.UnreadConversation,PendingIntent getReplyPendingIntent(), Gets the pending intent that will be triggered when the user replies to this notification.,,,,,,,,
,,,,,,,,,,
android.app.Notification.DecoratedCustomViewStyle,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.app.Notification.DecoratedMediaCustomViewStyle,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,boolean getContentIntentAvailableOffline(), Get whether the content intent is available when the wearable device is not connected to a companion device.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,PendingIntent getDisplayIntent(), Get the intent to launch inside of an activity view when displaying this notification.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,int getHintScreenTimeout()," Get the duration, in milliseconds, that the screen should remain on for when this notification is displayed.",,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,boolean getStartScrollBottom(), Get whether the scrolling position for the contents of this notification should start at the bottom of the contents instead of the top when the contents are too long to display within the screen.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,Notification.WearableExtender setContentIntentAvailableOffline(boolean contentIntentAvailableOffline), Set whether the content intent is available when the wearable device is not connected to a companion device.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,Notification.WearableExtender setDisplayIntent(PendingIntent intent), Set an intent to launch inside of an activity view when displaying this notification.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,Notification.WearableExtender setHintScreenTimeout(int timeout), Set a hint that the screen should remain on for at least this duration when this notification is displayed on the screen.,,,,,,,,
,,,,,,,,,,
android.app.Notification.WearableExtender,Notification.WearableExtender setStartScrollBottom(boolean startScrollBottom), Set whether the scrolling position for the contents of this notification should start at the bottom of the contents instead of the top when the contents are too long to display within the screen.,,,,,,,,
,,,,,,,,,,
android.media.AudioFocusRequest.Builder,AudioFocusRequest.Builder setOnAudioFocusChangeListener(AudioManager.OnAudioFocusChangeListener listener)," Sets the listener called when audio focus changes after being requested with requestAudioFocus(AudioFocusRequest), and until being abandoned with abandonAudioFocusRequest(AudioFocusRequest).",,,,,,,,
,,,,,,,,,,
android.media.AudioFocusRequest.Builder,"AudioFocusRequest.Builder setOnAudioFocusChangeListener(AudioManager.OnAudioFocusChangeListener listener, Handler handler)"," Sets the listener called when audio focus changes after being requested with requestAudioFocus(AudioFocusRequest), and until being abandoned with abandonAudioFocusRequest(AudioFocusRequest).",,,,,,,,
,,,,,,,,,,
android.media.AudioFocusRequest,boolean willPauseWhenDucked(), Returns whether the application that would use this AudioFocusRequest would pause when it is requested to duck.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.AudioEffect.Descriptor,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.AudioEffect,void setControlStatusListener(AudioEffect.OnControlStatusChangeListener listener), Sets the listener AudioEffect notifies when the effect engine control is taken or returned.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.AudioEffect,void setEnableStatusListener(AudioEffect.OnEnableStatusChangeListener listener), Sets the listener AudioEffect notifies when the effect engine is enabled or disabled.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.BassBoost.OnParameterChangeListener,"abstract void onParameterChange(BassBoost effect, int status, int param, short value)", Method called when a parameter value has changed.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.EnvironmentalReverb.OnParameterChangeListener,"abstract void onParameterChange(EnvironmentalReverb effect, int status, int param, int value)", Method called when a parameter value has changed.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.Equalizer.OnParameterChangeListener,"abstract void onParameterChange(Equalizer effect, int status, int param1, int param2, int value)", Method called when a parameter value has changed.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.PresetReverb.OnParameterChangeListener,"abstract void onParameterChange(PresetReverb effect, int status, int param, short value)", Method called when a parameter value has changed.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.Virtualizer.OnParameterChangeListener,"abstract void onParameterChange(Virtualizer effect, int status, int param, short value)", Method called when a parameter value has changed.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.Visualizer.MeasurementPeakRms,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.Visualizer.OnDataCaptureListener,"abstract void onFftDataCapture(Visualizer visualizer, byte[] fft, int samplingRate)", Method called when a new frequency capture is available.,,,,,,,,
,,,,,,,,,,
android.media.audiofx.Visualizer.OnDataCaptureListener,"abstract void onWaveFormDataCapture(Visualizer visualizer, byte[] waveform, int samplingRate)", Method called when a new waveform capture is available.,,,,,,,,
,,,,,,,,,,
android.media.AudioRecord.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.AudioRecord.OnRoutingChangedListener,abstract void onRoutingChanged(AudioRecord audioRecord), Called when the routing of an AudioRecord changes from either and explicit or policy rerouting.,,,,,,,,
,,,,,,,,,,
android.media.AudioRecord,void setRecordPositionUpdateListener(AudioRecord.OnRecordPositionUpdateListener listener), Sets the listener the AudioRecord notifies when a previously set marker is reached or for each periodic record head position update.,,,,,,,,
,,,,,,,,,,
android.media.AudioRecord,"void setRecordPositionUpdateListener(AudioRecord.OnRecordPositionUpdateListener listener, Handler handler)", Sets the listener the AudioRecord notifies when a previously set marker is reached or for each periodic record head position update.,,,,,,,,
,,,,,,,,,,
android.media.AudioRecord,void startRecording(MediaSyncEvent syncEvent), Starts recording from the AudioRecord instance when the specified synchronization event occurs on the specified audio session.,,,,,,,,
,,,,,,,,,,
android.media.AudioTimestamp,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack.OnRoutingChangedListener,abstract void onRoutingChanged(AudioTrack audioTrack), Called when the routing of an AudioTrack changes from either and explicit or policy rerouting.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack.StreamEventCallback,void onStreamDataRequest(AudioTrack track), Called when more audio data can be written without blocking on an offloaded track.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack.StreamEventCallback,void onStreamPresentationEnd(AudioTrack track), Called when all the buffers of an offloaded track that were queued in the audio system (e.g.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack.StreamEventCallback,void onTearDown(AudioTrack track), Called when an offloaded track is no longer valid and has been discarded by the system.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack,"void setPlaybackPositionUpdateListener(AudioTrack.OnPlaybackPositionUpdateListener listener, Handler handler)", Sets the listener the AudioTrack notifies when a previously set marker is reached or for each periodic playback head position update.,,,,,,,,
,,,,,,,,,,
android.media.AudioTrack,void setPlaybackPositionUpdateListener(AudioTrack.OnPlaybackPositionUpdateListener listener), Sets the listener the AudioTrack notifies when a previously set marker is reached or for each periodic playback head position update.,,,,,,,,
,,,,,,,,,,
