android.view.View,int getNextFocusRightId(), Gets the id of the view to use when the next focus is FOCUS_RIGHT.
android.view.View,int getNextFocusUpId(), Gets the id of the view to use when the next focus is FOCUS_UP.
android.view.View,boolean isLayoutRequested(), Indicates whether or not this view's layout will be requested during the next hierarchy layout pass.
android.view.View,"void postInvalidateOnAnimation(int left, int top, int right, int bottom)"," Cause an invalidate of the specified area to happen on the next animation time step, typically the next display frame."
android.view.View,void postInvalidateOnAnimation()," Cause an invalidate to happen on the next animation time step, typically the next display frame."
android.view.View,void postOnAnimation(Runnable action), Causes the Runnable to execute on the next animation time step.
android.view.View,"void postOnAnimationDelayed(Runnable action, long delayMillis)"," Causes the Runnable to execute on the next animation time step, after the specified amount of time elapses."
android.view.View,void setAnimation(Animation animation), Sets the next animation to play for this view.
android.view.View,void setNextClusterForwardId(int nextClusterForwardId), Sets the id of the view to use as the root of the next keyboard navigation cluster.
android.view.View,void setNextFocusDownId(int nextFocusDownId), Sets the id of the view to use when the next focus is FOCUS_DOWN.
android.view.View,void setNextFocusForwardId(int nextFocusForwardId), Sets the id of the view to use when the next focus is FOCUS_FORWARD.
android.view.View,void setNextFocusLeftId(int nextFocusLeftId), Sets the id of the view to use when the next focus is FOCUS_LEFT.
android.view.View,void setNextFocusRightId(int nextFocusRightId), Sets the id of the view to use when the next focus is FOCUS_RIGHT.
android.view.View,void setNextFocusUpId(int nextFocusUpId), Sets the id of the view to use when the next focus is FOCUS_UP.
android.view.View,void setTooltipText(CharSequence tooltipText), Sets the tooltip text which will be displayed in a small popup next to the view.
android.view.ViewGroup,boolean dispatchKeyEvent(KeyEvent event), Dispatch a key event to the next view on the focus path.
android.view.ViewGroup,void scheduleLayoutAnimation(), Schedules the layout animation to be played after the next layout pass of this view group.
android.view.ViewPropertyAnimator,ViewPropertyAnimator withEndAction(Runnable runnable), Specifies an action to take place when the next animation ends.
android.view.ViewPropertyAnimator,ViewPropertyAnimator withLayer(), The View associated with this ViewPropertyAnimator will have its layer type set to LAYER_TYPE_HARDWARE for the duration of the next animation.
android.view.ViewPropertyAnimator,ViewPropertyAnimator withStartAction(Runnable runnable), Specifies an action to take place when the next animation runs.
android.webkit.WebView,boolean dispatchKeyEvent(KeyEvent event), Dispatch a key event to the next view on the focus path.
android.webkit.WebView,void findNext(boolean forward)," Highlights and scrolls to the next match found by findAllAsync(String), wrapping around page boundaries as necessary."
android.webkit.WebView.VisualStateCallback,abstract void onComplete(long requestId), Invoked when the visual state is ready to be drawn in the next onDraw(Canvas).
