android.animation.Animator.AnimatorListener,"default void onAnimationStart(Animator animation, boolean isReverse)", Notifies the start of the animation as well as the animation's overall play direction.
android.media.MediaCodec,ByteBuffer[] getOutputBuffers()," This method was deprecated in API level 21. Use the new getOutputBuffer(int) method instead each time an output buffer is dequeued. This method is not supported if codec is configured in asynchronous mode. Note: As of API 21, the position and limit of output buffers that are dequeued will be set to the valid data range. Do not use this method if using an output surface."
android.media.MediaDrm.HdcpLevel,abstract int hashCode()," Returns the hash code of this annotation, as defined below: The hash code of an annotation is the sum of the hash codes of its members (including those with default values), as defined below: The hash code of an annotation member is (127 times the hash code of the member-name as computed by hashCode()) XOR the hash code of the member-value, as defined below: The hash code of a member-value depends on its type: The hash code of a primitive value v is equal to WrapperType.valueOf(v).hashCode(), where WrapperType is the wrapper type corresponding to the primitive type of v (Byte, Character, Double, Float, Integer, Long, Short, or Boolean)."
android.media.MediaDrm.OnKeyStatusChangeListener,"abstract void onKeyStatusChange(MediaDrm md, byte[] sessionId, List<MediaDrm.KeyStatus> keyInformation, boolean hasNewUsableKey)"," Called when the keys in a session change status, such as when the license is renewed or expires."
android.media.MediaDrm.SecurityLevel,abstract int hashCode()," Returns the hash code of this annotation, as defined below: The hash code of an annotation is the sum of the hash codes of its members (including those with default values), as defined below: The hash code of an annotation member is (127 times the hash code of the member-name as computed by hashCode()) XOR the hash code of the member-value, as defined below: The hash code of a member-value depends on its type: The hash code of a primitive value v is equal to WrapperType.valueOf(v).hashCode(), where WrapperType is the wrapper type corresponding to the primitive type of v (Byte, Character, Double, Float, Integer, Long, Short, or Boolean)."
android.media.MediaExtractor,"void setDataSource(Context context, Uri uri, Map<String,String> headers)", Sets the data source as a content Uri.
android.media.MediaMetadata,String getString(String key)," Returns the text value associated with the given key as a String, or null if no mapping of the desired type exists for the given key or a null value is explicitly associated with the key."
android.media.MediaMetadata,Set<String> keySet(), Returns a Set containing the Strings used as keys in this metadata.
android.media.MediaMetadataEditor,void addEditableKey(int key), Flags the given key as being editable.
android.media.MediaMetadataEditor,int[] getEditableKeys(), Retrieves the keys flagged as editable.
android.media.MediaMetadataEditor,"MediaMetadataEditor putObject(int key, Object value)", Adds information stored as an instance.
android.media.MediaMetadataRetriever,"void setDataSource(Context context, Uri uri)", Sets the data source as a content Uri.
android.media.MediaPlayer.OnTimedMetaDataAvailableListener,"abstract void onTimedMetaDataAvailable(MediaPlayer mp, TimedMetaData data)"," Called to indicate avaliable timed metadata This method will be called as timed metadata is extracted from the media, in the same order as it occurs in the media."
android.media.MediaPlayer,"static MediaPlayer create(Context context, Uri uri, SurfaceHolder holder, AudioAttributes audioAttributes, int audioSessionId)"," Same factory method as create(Context, Uri, SurfaceHolder) but that lets you specify the audio attributes and session ID to be used by the new MediaPlayer instance."
android.media.MediaPlayer,"static MediaPlayer create(Context context, int resid, AudioAttributes audioAttributes, int audioSessionId)"," Same factory method as create(Context, int) but that lets you specify the audio attributes and session ID to be used by the new MediaPlayer instance."
android.media.MediaPlayer,MediaTimestamp getTimestamp(), Get current playback position as a MediaTimestamp.
android.media.MediaPlayer,"void setDataSource(Context context, Uri uri, Map<String,String> headers, List<HttpCookie> cookies)", Sets the data source as a content Uri.
android.media.MediaPlayer,"void setDataSource(Context context, Uri uri, Map<String,String> headers)", Sets the data source as a content Uri.
android.media.MediaPlayer,"void setDataSource(Context context, Uri uri)", Sets the data source as a content Uri.
android.media.MediaPlayer,void setSurface(Surface surface), Sets the Surface to be used as the sink for the video portion of the media.
android.media.MediaPlayer2.EventCallback,"void onTimedMetaDataAvailable(MediaPlayer2 mp, long srcId, TimedMetaData data)"," Called to indicate avaliable timed metadata This method will be called as timed metadata is extracted from the media, in the same order as it occurs in the media."
android.media.MediaPlayer2,abstract DataSourceDesc getCurrentDataSource(), Gets the current data source as described by a DataSourceDesc.
android.media.MediaPlayer2,abstract MediaTimestamp getTimestamp(), Get current playback position as a MediaTimestamp.
android.media.MediaPlayer2,abstract void setDataSource(DataSourceDesc dsd), Sets the data source as described by a DataSourceDesc.
android.media.MediaPlayer2,abstract void setSurface(Surface surface), Sets the Surface to be used as the sink for the video portion of the media.
android.media.MediaRouter.Callback,"abstract void onRouteSelected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes selected as the active route for the given route type.
android.media.MediaRouter.Callback,"abstract void onRouteUnselected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes unselected as the active route for the given route type.
android.media.MediaRouter.SimpleCallback,"void onRouteSelected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes selected as the active route for the given route type.
android.media.MediaRouter.SimpleCallback,"void onRouteUnselected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes unselected as the active route for the given route type.
android.media.MediaSync,Surface createInputSurface(), Requests a Surface to use as the input.
android.media.RemoteControlClient.MetadataEditor,"RemoteControlClient.MetadataEditor putObject(int key, Object object)", Adds information stored as an instance.
android.media.session.PlaybackState,float getPlaybackSpeed(), Get the current playback speed as a multiple of normal playback.
android.media.TimedText,Rect getBounds(), Get the rectangle area or region for rendering the timed text as specified by a Rect object.
android.media.tv.TvContentRating,boolean contains(TvContentRating rating), Returns true if this rating has the same main rating as the specified rating and when this rating's sub-ratings contain the other's.
android.net.CaptivePortal,void ignoreNetwork(), Indicate to the system that the user does not want to pursue signing in to the captive portal and the system should continue to prefer other networks without captive portals for use as the default active data network.
android.net.ConnectivityManager,boolean getBackgroundDataSetting()," This method was deprecated in API level 14. As of ICE_CREAM_SANDWICH, availability of background data depends on several combined factors, and this method will always return true. Instead, when background data is unavailable, getActiveNetworkInfo() will now appear disconnected."
android.net.ConnectivityManager,int getNetworkPreference()," This method was deprecated in API level 21. Functionality has been removed as it no longer makes sense, with many more than two networks - we'd need an array to express preference. Instead we use dynamic network properties of the networks to describe their precedence."
android.net.ConnectivityManager,void releaseNetworkRequest(PendingIntent operation)," Removes a request made via requestNetwork(NetworkRequest, android.app.PendingIntent) This method has the same behavior as unregisterNetworkCallback(android.app.PendingIntent) with respect to releasing network resources and disconnecting."
android.net.ConnectivityManager,void setNetworkPreference(int preference)," This method was deprecated in API level 21. Functionality has been removed as it no longer makes sense, with many more than two networks - we'd need an array to express preference. Instead we use dynamic network properties of the networks to describe their precedence."
android.net.http.HttpResponseCache,"static HttpResponseCache install(File directory, long maxSize)", Creates a new HTTP response cache and sets it as the system default cache.
android.net.LinkAddress,String toString()," Returns a string representation of this address, such as ""192.0.2.1/24"" or ""2001:db8::1/64""."
android.net.Network,InetAddress[] getAllByName(String host), Operates the same as InetAddress.getAllByName except that host resolution is done on this network.
android.net.Network,InetAddress getByName(String host), Operates the same as InetAddress.getByName except that host resolution is done on this network.
android.net.NetworkInfo,boolean isRoaming()," This method was deprecated in API level P. Callers should switch to checking NET_CAPABILITY_NOT_ROAMING instead, since that handles more complex situations, such as VPNs."
android.net.nsd.NsdServiceInfo,"Map<String,byte[]> getAttributes()", Retrieve attributes as a map of String keys to byte[] values.
android.net.nsd.NsdServiceInfo,"void setAttribute(String key, String value)", Add a service attribute as a key/value pair.
android.net.TrafficStats,static void setThreadStatsUidSelf(), Set specific UID to use when accounting Socket traffic originating from the current thread as the calling UID.
android.net.Uri,"static String encode(String s, String allow)", Encodes characters in the given string as '%'-escaped octets using the UTF-8 scheme.
android.net.Uri,static String encode(String s), Encodes characters in the given string as '%'-escaped octets using the UTF-8 scheme.
android.net.Uri,"boolean getBooleanQueryParameter(String key, boolean defaultValue)", Searches the query string for the first value with the given key and interprets it as a boolean value.
android.net.wifi.p2p.WifiP2pGroup,WifiP2pDevice getOwner(), Get the details of the group owner as a WifiP2pDevice object
android.net.wifi.p2p.WifiP2pManager,"void createGroup(WifiP2pManager.Channel c, WifiP2pManager.ActionListener listener)", Create a p2p group with the current device as the group owner.
android.net.wifi.WifiEnterpriseConfig,X509Certificate[] getClientCertificateChain(), Get the complete client certificate chain in the same order as it was last supplied.
android.view.accessibility.AccessibilityNodeInfo,int getInputType(), Gets the input type of the source as defined by InputType.
android.view.accessibility.AccessibilityNodeInfo,AccessibilityNodeInfo getLabelFor(), Gets the node info for which the view represented by this info serves as a label for accessibility purposes.
android.view.accessibility.AccessibilityNodeInfo,AccessibilityNodeInfo getLabeledBy(), Gets the node info which serves as the label of the view represented by this info for accessibility purposes.
android.view.accessibility.AccessibilityNodeInfo,boolean isScreenReaderFocusable(), Returns whether the node is explicitly marked as a focusable unit by a screen reader.
android.view.accessibility.AccessibilityNodeInfo,void setInputType(int inputType), Sets the input type of the source as defined by InputType.
android.view.accessibility.AccessibilityNodeInfo,"void setLabelFor(View root, int virtualDescendantId)", Sets the view for which the view represented by this info serves as a label for accessibility purposes.
android.view.accessibility.AccessibilityNodeInfo,void setLabelFor(View labeled), Sets the view for which the view represented by this info serves as a label for accessibility purposes.
android.view.accessibility.AccessibilityNodeInfo,void setLabeledBy(View label), Sets the view which serves as the label of the view represented by this info for accessibility purposes.
android.view.accessibility.AccessibilityNodeInfo,"void setLabeledBy(View root, int virtualDescendantId)", Sets the view which serves as the label of the view represented by this info for accessibility purposes.
android.view.accessibility.AccessibilityNodeProvider,AccessibilityNodeInfo createAccessibilityNodeInfo(int virtualViewId)," Returns an AccessibilityNodeInfo representing a virtual view, such as a descendant of the host View, with the given virtualViewId or the host View itself if virtualViewId equals to HOST_VIEW_ID."
android.view.accessibility.AccessibilityNodeProvider,AccessibilityNodeInfo findFocus(int focus)," Find the virtual view, such as a descendant of the host View, that has the specified focus type."
android.view.accessibility.AccessibilityNodeProvider,"boolean performAction(int virtualViewId, int action, Bundle arguments)"," Performs an accessibility action on a virtual view, such as a descendant of the host View, with the given virtualViewId or the host View itself if virtualViewId equals to HOST_VIEW_ID."
android.view.animation.Animation,int getZAdjustment(), Returns the Z ordering mode to use while running the animation as previously set by setZAdjustment(int).
android.view.animation.Animation,"void initialize(int width, int height, int parentWidth, int parentHeight)", Initialize this animation with the dimensions of the object being animated as well as the objects parents.
android.view.animation.AnimationSet,"void initialize(int width, int height, int parentWidth, int parentHeight)", Initialize this animation with the dimensions of the object being animated as well as the objects parents.
android.view.animation.GridLayoutAnimationController,void setColumnDelay(float columnDelay)," Sets the delay, as a fraction of the animation duration, by which the children's animations are offset from one column to the other."
android.view.animation.GridLayoutAnimationController,void setRowDelay(float rowDelay)," Sets the delay, as a fraction of the animation duration, by which the children's animations are offset from one row to the other."
android.view.animation.LayoutAnimationController,void setDelay(float delay)," Sets the delay, as a fraction of the animation duration, by which the children's animations are offset."
android.view.animation.PathInterpolator,float getInterpolation(float t)," Using the line in the Path in this interpolator that can be described as y = f(x), finds the y coordinate of the line given t as the x coordinate."
android.view.animation.RotateAnimation,"void initialize(int width, int height, int parentWidth, int parentHeight)", Initialize this animation with the dimensions of the object being animated as well as the objects parents.
android.view.animation.ScaleAnimation,"void initialize(int width, int height, int parentWidth, int parentHeight)", Initialize this animation with the dimensions of the object being animated as well as the objects parents.
android.view.animation.TranslateAnimation,"void initialize(int width, int height, int parentWidth, int parentHeight)", Initialize this animation with the dimensions of the object being animated as well as the objects parents.
android.view.CollapsibleActionView,abstract void onActionViewCollapsed(), Called when this view is collapsed as an action view.
android.view.CollapsibleActionView,abstract void onActionViewExpanded(), Called when this view is expanded as an action view.
android.view.Display,"void getCurrentSizeRange(Point outSmallestSize, Point outLargestSize)"," Return the range of display sizes an application can expect to encounter under normal operation, as long as there is no physical change in screen size."
android.view.Display,void getRectSize(Rect outSize)," Gets the size of the display as a rectangle, in pixels."
android.view.Display,int getState()," Gets the state of the display, such as whether it is on or off."
android.view.DragEvent,ClipData getClipData(), Returns the ClipData object sent to the system as part of the call to startDragAndDrop().
android.view.DragEvent,ClipDescription getClipDescription(), Returns the ClipDescription object contained in the ClipData object sent to the system as part of the call to startDragAndDrop().
android.view.DragEvent,Object getLocalState(), Returns the local state object sent to the system as part of the call to startDragAndDrop().
android.view.InputDevice,int getSources(), Gets the input sources supported by this input device as a combined bitfield.
android.view.InputDevice,boolean isVirtual()," Returns true if the device is a virtual input device rather than a real one, such as the virtual keyboard (see VIRTUAL_KEYBOARD)."
android.view.inputmethod.BaseInputConnection,"boolean setComposingRegion(int start, int end)", Mark a certain region of text as composing text.
android.view.inputmethod.CursorAnchorInfo.Builder,"CursorAnchorInfo.Builder setInsertionMarkerLocation(float horizontalPosition, float lineTop, float lineBaseline, float lineBottom, int flags)", Sets the location of the text insertion point (zero width cursor) as a rectangle in local coordinates.
android.view.inputmethod.InputConnection,"abstract boolean commitContent(InputContentInfo inputContentInfo, int flags, Bundle opts)", Called by the input method to commit content such as a PNG image to the editor.
android.view.inputmethod.InputConnection,"abstract boolean setComposingRegion(int start, int end)", Mark a certain region of text as composing text.
android.view.inputmethod.InputConnectionWrapper,"boolean commitContent(InputContentInfo inputContentInfo, int flags, Bundle opts)", Called by the input method to commit content such as a PNG image to the editor.
android.view.inputmethod.InputConnectionWrapper,"boolean setComposingRegion(int start, int end)", Mark a certain region of text as composing text.
android.view.inputmethod.InputMethodSubtype,boolean containsExtraValueKey(String key)," The string of ExtraValue in subtype should be defined as follows: example: key0,key1=value1,key2,key3,key4=value4"
android.view.inputmethod.InputMethodSubtype,String getExtraValueOf(String key)," The string of ExtraValue in subtype should be defined as follows: example: key0,key1=value1,key2,key3,key4=value4"
android.view.KeyCharacterMap,int getModifierBehavior(), Gets a constant that describes the behavior of this keyboard's modifier keys such as KEYCODE_SHIFT_LEFT.
android.view.KeyEvent.Callback,"abstract boolean onKeyMultiple(int keyCode, int count, KeyEvent event)"," Called when a user's interaction with an analog control, such as flinging a trackball, generates simulated down/up events for the same key multiple times in quick succession."
android.view.KeyEvent.DispatcherState,void performedLongPress(KeyEvent event)," Keep track of the given event's key code as having performed an action with a long press, so no action should occur on the up."
android.view.KeyEvent,"static KeyEvent changeAction(KeyEvent event, int action)"," Create a new key event that is the same as the given one, but whose action is replaced with the given value."
android.view.KeyEvent,"static KeyEvent changeFlags(KeyEvent event, int flags)"," Create a new key event that is the same as the given one, but whose flags are replaced with the given value."
android.view.KeyEvent,"static KeyEvent changeTimeRepeat(KeyEvent event, long eventTime, int newRepeat, int newFlags)"," Create a new key event that is the same as the given one, but whose event time and repeat count are replaced with the given value."
android.view.KeyEvent,"static KeyEvent changeTimeRepeat(KeyEvent event, long eventTime, int newRepeat)"," Create a new key event that is the same as the given one, but whose event time and repeat count are replaced with the given value."
android.view.KeyEvent,final boolean isCanceled()," For ACTION_UP events, indicates that the event has been canceled as per FLAG_CANCELED."
android.view.KeyEvent,final boolean isLongPress()," For ACTION_DOWN events, indicates that the event has been canceled as per FLAG_LONG_PRESS."
android.view.KeyEvent,final boolean isTracking()," For ACTION_UP events, indicates that the event is still being tracked from its initial down event as per FLAG_TRACKING."
android.view.KeyEvent,static int keyCodeFromString(String symbolicName)," Gets a keycode by its symbolic name such as ""KEYCODE_A"" or an equivalent numeric constant such as ""1001""."
android.view.KeyEvent,static String keyCodeToString(int keyCode)," Returns a string that represents the symbolic name of the specified keycode such as ""KEYCODE_A"", ""KEYCODE_DPAD_UP"", or an equivalent numeric constant such as ""1001"" if unknown."
android.view.Menu,abstract void clear()," Remove all existing items from the menu, leaving it empty as if it had just been created."
android.view.MenuItem,abstract Drawable getIcon(), Returns the icon for this item as a Drawable (getting it from resources if it hasn't been loaded before).
android.view.MotionEvent,static String actionToString(int action)," Returns a string that represents the symbolic name of the specified unmasked action such as ""ACTION_DOWN"", ""ACTION_POINTER_DOWN(3)"" or an equivalent numeric constant such as ""35"" if unknown."
android.view.MotionEvent,static int axisFromString(String symbolicName)," Gets an axis by its symbolic name such as ""AXIS_X"" or an equivalent numeric constant such as ""42""."
android.view.MotionEvent,static String axisToString(int axis)," Returns a string that represents the symbolic name of the specified axis such as ""AXIS_X"" or an equivalent numeric constant such as ""42"" if unknown."
android.view.MotionEvent,int getActionIndex()," For ACTION_POINTER_DOWN or ACTION_POINTER_UP as returned by getActionMasked(), this returns the associated pointer index."
android.view.MotionEvent,int getButtonState(), Gets the state of all buttons that are pressed such as a mouse or stylus button.
android.view.MotionEvent,"float getHistoricalAxisValue(int axis, int pointerIndex, int pos)"," Returns the historical value of the requested axis, as per getAxisValue(int, int), occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalOrientation(int pointerIndex, int pos)"," Returns a historical orientation coordinate, as per getOrientation(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"void getHistoricalPointerCoords(int pointerIndex, int pos, MotionEvent.PointerCoords outPointerCoords)"," Populates a MotionEvent.PointerCoords object with historical pointer coordinate data, as per getPointerCoords(int, MotionEvent.PointerCoords), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalPressure(int pointerIndex, int pos)"," Returns a historical pressure coordinate, as per getPressure(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalSize(int pointerIndex, int pos)"," Returns a historical size coordinate, as per getSize(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalToolMajor(int pointerIndex, int pos)"," Returns a historical tool major axis coordinate, as per getToolMajor(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalToolMinor(int pointerIndex, int pos)"," Returns a historical tool minor axis coordinate, as per getToolMinor(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalTouchMajor(int pointerIndex, int pos)"," Returns a historical touch major axis coordinate, as per getTouchMajor(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalTouchMinor(int pointerIndex, int pos)"," Returns a historical touch minor axis coordinate, as per getTouchMinor(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalX(int pointerIndex, int pos)"," Returns a historical X coordinate, as per getX(int), that occurred between this event and the previous event for the given pointer."
android.view.MotionEvent,"float getHistoricalY(int pointerIndex, int pos)"," Returns a historical Y coordinate, as per getY(int), that occurred between this event and the previous event for the given pointer."
android.view.SurfaceView,void setSecure(boolean isSecure)," Control whether the surface view's content should be treated as secure, preventing it from appearing in screenshots or from being viewed on non-secure displays."
android.view.textservice.SpellCheckerSubtype,boolean containsExtraValueKey(String key)," The string of ExtraValue in subtype should be defined as follows: example: key0,key1=value1,key2,key3,key4=value4"
